_id,name,sentence,cmd
1-1,,,"SetBackground(""meadow_day"");PlayBGM(""bgm01"");MakeTitle(""1943년 8월 4일 쿠르스크 남부""); SetDateTime(""1943.08.04"");"
1-2,,하르코프 탈환을 위한 루미안체프 작전 개시 D+1일 차.,
1-3,,여느 여름보다 맑고 화창한 날씨다.,
1-4,,주위를 찬찬히 둘러본다.,
1-5,,"주인이 버리고 간 밀밭에서, 타다만 낱알이 구수한 냄새를 풍기고 있다.",
1-6,,보다 넓은 시야가 필요하니 모과나무가 군락을 이룬 둔덕 위로 올라선다.,
1-7,,나쁘지 않다. 시야가 환히 트여서 적을 관측하기 괜찮은 날씨다.,
1-8,,전차는 가느다란 흙길로 천천히 질주하고 있다.,
1-9,,"전차 소음 사이 사이로, 귀를 유심히 기울이면 새 지저귀는 소리와 함께 간간이 포성 소리가 들려온다.","PlaySFX(""nature_sound_birds"");"
1-10,,"<i><b> ""쿵…. 쿵…."" </b></i>","PlaySFX(""grenade_bomb"");"
1-11,,"수십 킬로미터는 떨어진 곳에서의 포탄 소리를 듣고 있자니, 다른 세상의 일처럼 느껴진다.","PlayBGM(""bgm05"");"
1-12,,전차 해치를 열고 큐폴라 위에 걸터앉아 본다.,
1-13,,좌우로 흔들리는 전차 위에 앉아 선선한 바람을 맞는다. 평온하다.,"PlaySFX(""tank_track"");"
1-14,,저 멀리서 전장 소음이 불협화음처럼 들려오지만 이미 익숙해진지 오래다.,"PlaySFX(""ppsh41_shot_1"");"
1-15,,잠시 눈을 감고 여유를 만끽하며 심호흡을 크게 한다.,
1-16,전차장,후...,
1-17,,좋은 느낌이다.,
1-18,,8월의 따가운 공기가 폐부까지 깊숙하게 스며들며….,
1-19,소냐,전차장님?? 힘들어서 정신 나간 건 아니죠?,"SetSprite(0, ""sonya_shock"");"
1-20,소냐,총 맞기 싫으면 다시 들어오세요.,
1-21,소냐,전차에서 시체 치우는 건 한 번으로 족합니다...,"SetSprite(0, ""sonya_basic"");"
1-22,전차장,"아, 미안. 잠깐 바깥 상황 좀 보려고.",
1-23,전차장,다행히 적은 안 보인다.,
1-24,이리나,지금 상황에서 적이 보이면 우린 죽은 목숨임다?,"SetSprite(0, ""sonya_basic"");SetSprite(1, ""irina_basic"");"
1-25,전차장,현실도피 좀 하려고 했더니 역시 그냥은 안 넘어가는군.,"UnlockBook(1,2,3);"
1-26,소냐,상황이 안 좋아요. 우리처럼 홀로 돌아다니는 전차는 그냥 먹잇감이죠.,
1-27,전차장,어쩔 수 없지. 우리 중대가 멍청한 중대장 탓에 전멸해버렸으니까.,
1-28,전차장,살아남은 김에 잠깐 여유라도 만끽하자구.,
1-29,이리나,어제는 진짜 죽는 줄 알았슴다…,
1-30,소냐,참 긍정적이시네요. 전차장님,"SetSprite(1, """");"
1-31,소냐,"오늘처럼 맑고 화창한 날씨에, 사방 탁 트인 평야 지대.",
1-32,소냐,… 슈투카 (독일군 급강하 폭격기) 한대라도 날아들면 우린 순식간에 죽은 목숨이라구요?,
1-33,소냐,너무 긴장감 없는 거 아니에요?,
1-34,이리나,슈투카… 소리만 들어도 무섭슴다.,"SetSprite(0, ""sonya_basic"");SetSprite(1, ""irina_basic"");"
1-35,전차장,"물론, 중사의 말도 일리는 있다.",
1-36,전차장,언제 전투가 벌어질지 모르는 일이니 충분히 조심하고 대비해야겠지.,
1-37,전차장,하지만 군인에게는 긴장을 푸는 것도 중요한 과업이다.,
1-38,전차장,한숨 돌리면서 심신의 안정을 찾고 다음 전투를 준비하는 거다.,
1-39,이리나,심신의 안정은 여단 본부로 복귀하고 찾아야 함다.,"SetSprite(0, """");SetSprite(1, """");SetSprite(0, ""irina_basic"");"
1-40,이리나,지금 완전 위험한 상황임다. 탄약도 거의 다 떨어졌고 무엇보다도…,"Wait(2);StopBGM(""bgm05"", 1.5);"
1-41,,"<i><b> ""덜커덩"" </b></i>","PlaySFX(""tank_engine"");MakeShake(2.0);"
1-42,,갑자기 육중한 기계음과 함께 차체가 좌우로 급격히 흔들린다.,
1-43,이리나,엔진이 이렇게 퍼지는 게 문제임다…,
1-44,이리나,무전기도 망가져서 구원요청도 못 합니다.,
1-45,미하일,제길… 전차장님! 구동계가 또 말썽입니다!! 잠깐 정차해도 되겠습니까??,"SetSprite(1, ""michael_shock"");PlayBGM(""bgm01"")"
1-46,전차장,뭐? 오늘만 벌써 몇 번째 멈추는 거야?,
1-47,미하일,"전면 장갑도 그렇지만, 라디에이터 부분이 기관총에 여러 군데 당해서 상태가 안 좋습니다.","SetSprite(0, """");SetSprite(1, """");SetSprite(0, ""michael_basic"");"
1-48,미하일,그나마 T-34니까 움직이는 거지 독일놈들 전차였으면 가솔린에 불붙어서 지금쯤 터졌을 겁니다.,
1-49,전차장,그럼 10분 안에 처리 가능한가?,
1-50,미하일,예전에 트랙터에 했던 것처럼 냉각수라도 좀 부어 보겠습니다.,
1-51,미하일,엔진이 과열되는 건 막아주겠죠.,
1-52,미하일,"하지만 어디까지나 임시방편인지라, 얼마나 갈지는 모르겠습니다.",
1-53,전차장,정든 전차를 버리고 가는 것보다는 낫겠지. 그럼 잠깐 정지!,
1-54,,"<i><b> ""끼익"" </b></i>","SetSprite(0, """");StopBGM(""bgm01"",1.5);"
1-55,,궤도 소리가 서서히 잦아들더니 전차가 완전히 정지한다.,"SetBackground(""t34_meadow_day"");PlaySFX(""tank_track"");"
1-56,이리나,전차장님? 여긴 완전 허허벌판임다?,"SetSprite(0, ""irina_shock"");"
1-57,전차장,음. 나도 안다.,"PlayBGM(""bgm20"");"
1-58,이리나,이런 데 있다가 슈투카나 티거라도 오면 큰일 납니다?,
1-59,이리나,좀 더 가서 언덕 옆에 은폐하는 게 낫지 않슴까?,"SetSprite(0, ""irina_basic"");"
1-60,,탄약수가 볼멘소리로 외치지만 별다른 도리가 없다.,"SetSprite(0, """");"
1-61,,T-34의 투박한 엔진음이 오늘따라 힘겹게 숨을 내쉬는 것처럼 느껴진다.,"PlaySFX(""tank_engine"");"
1-62,미하일,"그럼, 잠깐 내려서 보고 오겠습니다!!","SetSprite(0, ""michael_basic"");"
1-63,소냐,웅 다녀와~ 부르면 바로 돌아오고.,"SetSprite(0, ""sonya_smile_1"");"
1-64,소냐,… 복귀 할때까지는 엔진이 버텨줘야 할 텐데.,"SetSprite(0, ""sonya_basic"");"
1-65,,"포수가 한탄한 것처럼, 상황은 좋지 못하다.","SetSprite(0, """");"
1-66,,"어제 벌어진 전투에서 전방 기관총이 피탄되면서 폭발, 무전수가 사망했고 무전기도 함께 박살 났다.",
1-67,,설상가상으로 전차 후미의 구동계도 중기관총에 맞아 망가져 버렸다.,
1-68,,"운 좋게 살아남을 수는 있었지만, 사지에서 무사히 탈출할 수 있을지는 아직 모르는 일이다.",
1-69,,"죽은 것도, 산 것도 아닌 상태.",
1-70,,연옥에 빠져 고통받는 상황.,
1-71,,그것이 바로 우리의 상황이었다.,
1-72,,별달리 할 수 있는 것도 없기에 큐폴라 위에 다시 걸터 앉는다.,
1-73,,"사방을 경계하면서, 조종수의 작업도 지켜본다.",
1-74,미하일,하하하! 엔진이 엄청 뜨겁네!!,"SetSprite(0, ""michael_smile"");"
1-75,미하일,목말랐구나? 여기 물이다!!,
1-76,미하일,뭐? 보드카를 부어달라고? 역시… 너도 러시아의 남아였군!!,
1-77,전차장,엔진하고 대화를 나누다니 제정신인가?,
1-78,소냐,그래도 실력은 탁월하잖아요.,"SetSprite(0, ""sonya_basic"");"
1-79,전차장,"물론 운전 실력은 뛰어나지만, 저건 걱정되는군.",
1-80,이리나,저런 응급 처치 따위로도 움직이는 겁니까?,"SetSprite(1, ""irina_basic"");"
1-81,소냐,별수 있나? 믿어봐야지.,
1-82,이리나,으. 가다가 터질 겁니다…,
1-83,소냐,재수 없는 소리 좀 하지마.,
1-84,전차장,걱정하는 건 이해한다. 그래도 최대한 노력은 해봐야지.,
1-85,전차장,이 길을 따라 북쪽으로 가면 공세 중인 아군과 안전하게 합류하게 될 거다.,
